Title,Location,Price,Area
                        Apartment Hoogte Kadijk 54 H                            ,            1018 BN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",93 m²
                        Apartment Surinameplein                            ,            1058 GH Amsterdam (Hoofddorppleinbuurt)        ,"                €2,200 per month            ",80 m²
                        Apartment Des Présstraat                            ,            1075 NZ Amsterdam (Willemspark)        ,"                €2,850 per month            ",92 m²
                        Apartment Koninginneweg 175 H                            ,            1075 CP Amsterdam (Willemspark)        ,"                €5,500 per month            ",149 m²
                        Apartment Kaasjeskruidstraat 26                            ,            1032 LS Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,250 per month            ",25 m²
                        House Haarlemmerweg                            ,            1051 KX Amsterdam (Staatsliedenbuurt)        ,"                €1,850 per month            ",55 m²
                        Apartment Nieuwegrachtje 3 2                            ,            1011 VP Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,850 per month            ",87 m²
                        Apartment Amazonenstraat                            ,            1076 LD Amsterdam (Stadionbuurt)        ,"                €1,850 per month            ",51 m²
                        Apartment Tilanusstraat                            ,            1091 BG Amsterdam (Oosterparkbuurt)        ,"                €1,800 per month            ",65 m²
                        Apartment Spuistraat                            ,            1012 SP Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,950 per month            ",75 m²
                        Apartment Bezaanjachtplein 17                            ,            1034 CR Amsterdam (Banne Buiksloot)        ,"                €1,475 per month            ",59 m²
                        Apartment Gerard Doustraat                            ,            1073 XD Amsterdam (Oude Pijp)        ,"                €1,850 per month            ",45 m²
                        Apartment Prinsengracht 693 C                            ,            1017 JV Amsterdam (Grachtengordel-Zuid)        ,"                €2,300 per month            ",70 m²
                        Apartment Kloveniersburgwal                            ,            1011 JT Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,800 per month            ",44 m²
                        Apartment Korte Ouderkerkerdijk                            ,            1096 AC Amsterdam (Omval/Overamstel)        ,"                €8,000 per month            ",191 m²
                        Apartment Stadionweg 318 III                            ,            1076 PK Amsterdam (Stadionbuurt)        ,"                €2,500 per month            ",100 m²
                        Apartment Willem de Zwijgerlaan                            ,            1055 RB Amsterdam (Landlust)        ,"                €1,500 per month            ",51 m²
                        House Baanbrugsteeg 1 a                            ,            1013 HM Amsterdam (Haarlemmerbuurt)        ,"                €3,950 per month            ",130 m²
                        Apartment Nicolaas Maesstraat                            ,            1071 PR Amsterdam (Museumkwartier)        ,"                €6,000 per month            ",151 m²
                        Apartment Groenmarktkade                            ,            1016 TA Amsterdam (Jordaan)        ,"                €2,150 per month            ",66 m²
                        Apartment Zieseniskade 13 A                            ,            1017 RS Amsterdam (De Weteringschans)        ,"                €2,900 per month            ",67 m²
                        Apartment Nassaukade                            ,            1053 LM Amsterdam (Da Costabuurt)        ,"                €2,600 per month            ",93 m²
                        Apartment Kratontuin                            ,            1019 SL Amsterdam (Oostelijk Havengebied)        ,"                €2,500 per month            ",81 m²
                        Apartment Zuider IJdijk 1209                            ,            1095 KN Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,400 per month            ",45 m²
                        Apartment Gustav Mahlerlaan 853                            ,            1082 MK Amsterdam (Zuidas)        ,"                €1,958 per month            ",94 m²
                        House Johannes Verhulststraat 151 h                            ,            1075 GW Amsterdam (Willemspark)        ,"                €11,000 per month            ",255 m²
                        House Erich Salomonstraat                            ,            1087 JA Amsterdam (IJburg West)        ,"                €2,850 per month            ",158 m²
                        Apartment Noorderkerkstraat 7 hs                            ,            1015 NB Amsterdam (Jordaan)        ,"                €2,100 per month            ",85 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–B LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–D LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–G LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            ",74 m²
